Year,Major Industry,Minor Industry,Value
2017,Manufacturing,Manufacture of paper and paper products,1
2017,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",12
2017,Manufacturing,Manufacture of plastics products,1
2017,Manufacturing,Manufacture of prepared animal feeds,1
2017,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",20
2017,Manufacturing,Manufacture of refined petroleum products,2
2017,Manufacturing,Manufacture of rubber products,2
2017,Manufacturing,Manufacture of sports goods,
2017,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",5
2017,Manufacturing,Manufacture of vegetable and animal oils and fats,5
2017,Manufacturing,"Manufacture of wearing apparel, except fur apparel",10
2017,Human health and social work activities,Medical and dental practice activities,23
2017,Mining and quarrying,Mining and quarrying n.e.c.,2
2017,"Agriculture, forestry and fishing",Mixed farming,1
2017,Financial and insurance activities,Monetary intermediation,4
2017,Information and communication,"Motion picture, video and television programme activities",3
