Year,Budget Series,Ministry,Department,Activity,Units,Value
2021,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),11.446675
2021,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),404.75796
2021,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),8.7363
2021,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),46.587469
2021,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),50.586721
2021,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),506.527954
2021,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),35.795552
2021,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),6.748586
2021,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),70.770454
2021,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),11.529266
2021,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),443.199054
2021,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),54.513542
2021,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),25.211323
2021,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),0.580315
2021,Actual,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),11.861299
2021,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),80.121869
2021,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),28.342951
2021,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),24.534749
2021,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),3.642434
2021,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),9.67664
2021,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),2.531646
2021,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),3.00763
2021,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),2.542792
2021,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),29.426998
2021,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),42.589348
2021,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),1.629539
2021,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),3.371005
2021,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),6.311618
2021,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),6.573397
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Cooperatives Development,,Value in Millions (VT),46.581622
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),-0.349195
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),45.935136
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),45.265964
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Intellectual Property Development and Protection,,Value in Millions (VT),9.515123
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),13.797275
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",National Standards Development,,Value in Millions (VT),36.850516
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),26.219283
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,,Value in Millions (VT),25.008138
2021,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),56.348572
2021,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),4.095022
2021,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),16.888006
2021,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),1.723038
2021,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),1.323257
2021,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),139.115883
2021,Actual,Prime Ministers Ministry,Parliamentary Secretariat,,Value in Millions (VT),-1.122869
2021,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),47.541574
2021,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),37.310194
2021,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),15.279696
2021,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),18.516926
2021,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),1.914514
2021,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),99.006048
2021,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),30.816818
2021,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),28.11983
2021,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),7.835751
2021,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),684.514781
2021,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),32.002143
2021,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),25.648222
2021,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),119.960944
2021,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),10.56539
2021,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),25.223363
2021,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),107.50432
2021,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),441.211669
2021,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),76.53198
2021,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),312.230446
2021,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),158.775161
2021,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),387.822868
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),6.111512
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,,Value in Millions (VT),16.286891
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),126.813609
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),26.262681
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),58.658661
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),18.638911
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),33.909
2021,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),848.371798
2021,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),101.56137
2021,Budget,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),1571.031285
2021,Budget,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),172.127109
2021,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),10.928562
2021,Budget,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),8.306706
2021,Budget,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),644.266063
2021,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),216.213737
2021,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),7808.107121
2021,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),24.969542
2021,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),160.551129
2021,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),74.438453
2021,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),15.570785
2021,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),233.04394
2021,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),29.601555
2021,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),794.720207
2021,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),15.242308
2021,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),77.487386
2021,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),112.247905
2021,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),3301.251841
2021,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),108.602687
2021,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),11.034789
2021,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),70.807584
2021,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),18.722911
2021,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),523.520436
2021,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),81.946687
2021,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),50.800617
2021,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),2.345317
2021,Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),24.315
2021,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),255.929477
2021,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),59.687476
2021,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),23.315148
2021,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),6.335287
2021,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),28.444405
2021,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),4.871712
2021,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),16.923434
2021,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),4
2021,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),46.1
2021,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),58.38976
2021,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3
2021,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),3.5
