Year,Budget Series,Ministry,Department,Activity,Units,Value
2018,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),107.842472
2018,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),174.176429
2018,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),150.413444
2018,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),61.798212
2018,Budget,Prime Ministers Ministry,,,Value in Millions (VT),410.170026
2019,Actual,Constitutional Agencies,,,Value in Millions (VT),1018.517404
2019,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),585.087302
2019,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),151.75292
2019,Actual,Ministry of Education & Training,,,Value in Millions (VT),1905.928489
2019,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),11025.7085
2019,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),222.625014
2019,Actual,Ministry of Health,,,Value in Millions (VT),964.343853
2019,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1055.174282
2019,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),855.933717
2019,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),152.071296
2019,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),147.414767
2019,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),199.594363
2019,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),74.252117
2019,Actual,Prime Ministers Ministry,,,Value in Millions (VT),544.416085
2019,Budget,Constitutional Agencies,,,Value in Millions (VT),1018.583393
2019,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),525.58782
2019,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),100.730035
2019,Budget,Ministry of Education & Training,,,Value in Millions (VT),1858.810948
2019,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),6083.469038
2019,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),198.504433
2019,Budget,Ministry of Health,,,Value in Millions (VT),980.819904
2019,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1103.973136
2019,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),742.268606
2019,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),317.438566
2019,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),94.067325
2019,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),286.257373
2019,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),84.08636
2019,Budget,Prime Ministers Ministry,,,Value in Millions (VT),417.409521
2020,Actual,Constitutional Agencies,,,Value in Millions (VT),1489.323307
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),1249.330363
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),314.320787
2020,Actual,Ministry of Education & Training,,,Value in Millions (VT),2280.731464
2020,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),14564.8292
2020,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),308.969661
2020,Actual,Ministry of Health,,,Value in Millions (VT),1203.887535
