Year,Series,Commodity,Country,Value
2021,Price per unit (vatu per kilogram/litre),Medicaments,India,6811
2021,Price per unit (vatu per kilogram/litre),Medicaments,United States of America,5365
2021,Price per unit (vatu per kilogram/litre),Medicaments,Fiji,2141
2021,Price per unit (vatu per kilogram/litre),Petroleum oils,Singapore,65
2021,Price per unit (vatu per kilogram/litre),Petroleum oils,Australia,172
2021,Price per unit (vatu per kilogram/litre),Petroleum oils,New Zealand,85
2021,Price per unit (vatu per kilogram/litre),Petroleum oils,United Arab Emirates,309
2021,Price per unit (vatu per kilogram/litre),Petroleum oils,Malaysia,258
2021,Price per unit (vatu per kilogram/litre),Rice,China,65
2021,Price per unit (vatu per kilogram/litre),Rice,Taiwan,56
2021,Price per unit (vatu per kilogram/litre),Rice,Vietnam,36
2021,Price per unit (vatu per kilogram/litre),Rice,Fiji,95
2021,Price per unit (vatu per kilogram/litre),Rice,Thailand,109
2022,Price per unit (vatu per kilogram/litre),Alcoholic drinks,,251
2022,Price per unit (vatu per kilogram/litre),Iron or steel,,374
2022,Price per unit (vatu per kilogram/litre),Medicaments,,3124
2022,Price per unit (vatu per kilogram/litre),Petroleum oils,,133
2022,Price per unit (vatu per kilogram/litre),Rice,,76
2022,Price per unit (vatu per kilogram/litre),Alcoholic drinks,China,234
2022,Price per unit (vatu per kilogram/litre),Alcoholic drinks,France,265
2022,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Singapore,268
2022,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Solomon Islands,256
2022,Price per unit (vatu per kilogram/litre),Alcoholic drinks,United Kingdom,899
2022,Price per unit (vatu per kilogram/litre),Iron or steel,China,199
2022,Price per unit (vatu per kilogram/litre),Iron or steel,Australia,777
2022,Price per unit (vatu per kilogram/litre),Iron or steel,Japan,2707
2022,Price per unit (vatu per kilogram/litre),Iron or steel,New Zealand,908
2022,Price per unit (vatu per kilogram/litre),Iron or steel,Fiji,292
2022,Price per unit (vatu per kilogram/litre),Medicaments,Australia,1188
2022,Price per unit (vatu per kilogram/litre),Medicaments,New Zealand,16594
2022,Price per unit (vatu per kilogram/litre),Medicaments,India,5388
2022,Price per unit (vatu per kilogram/litre),Medicaments,United States of America,9822
2022,Price per unit (vatu per kilogram/litre),Medicaments,Fiji,2964
2022,Price per unit (vatu per kilogram/litre),Petroleum oils,Singapore,132
2022,Price per unit (vatu per kilogram/litre),Petroleum oils,Australia,292
2022,Price per unit (vatu per kilogram/litre),Petroleum oils,New Zealand,165
2022,Price per unit (vatu per kilogram/litre),Petroleum oils,United Arab Emirates,335
2022,Price per unit (vatu per kilogram/litre),Petroleum oils,Malaysia,302
2022,Price per unit (vatu per kilogram/litre),Rice,China,78
2022,Price per unit (vatu per kilogram/litre),Rice,Taiwan,74
2022,Price per unit (vatu per kilogram/litre),Rice,Vietnam,68
2022,Price per unit (vatu per kilogram/litre),Rice,Fiji,100
2022,Price per unit (vatu per kilogram/litre),Rice,Thailand,186
2023,Price per unit (vatu per kilogram/litre),Alcoholic drinks,,311
