Year,Series,Ministry,Department,Value
2020,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,87
2020,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,65
2020,Actual Spent,Ministry of Justice and Social Welfare,Vanuatu Law Commission,26
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,61
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,129
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,225
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,23
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,96
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,52
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",Valuer General,13
2020,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,101
2020,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,82
2020,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,134
2020,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",84
2020,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,178
2020,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,134
2020,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,63
2020,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,106
2020,Actual Spent,Prime Ministers Ministry,Government Remuneration Tribunal,17
2020,Actual Spent,Prime Ministers Ministry,Language Services Department,41
2020,Actual Spent,Prime Ministers Ministry,Office of the Government Chief Information Officer,315
2020,Actual Spent,Prime Ministers Ministry,PMO Corporate Service Unit,112
2020,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,130
2020,Actual Spent,Prime Ministers Ministry,Vanuatu Project Management Unit,149
2021,Actual Spent,Constitutional Agencies,Citizenship Office,37
2021,Actual Spent,Constitutional Agencies,Electoral Office,121
2021,Actual Spent,Constitutional Agencies,Judicial Services Commission,0
2021,Actual Spent,Constitutional Agencies,Judiciary,315
2021,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,93
2021,Actual Spent,Constitutional Agencies,National Audit Office,84
2021,Actual Spent,Constitutional Agencies,Office of the Attorney General,214
2021,Actual Spent,Constitutional Agencies,Office of the Ombudsman,61
2021,Actual Spent,Constitutional Agencies,Parliament,975
2021,Actual Spent,Constitutional Agencies,President of the Republic,78
2021,Actual Spent,Constitutional Agencies,Public Prosecutor,99
2021,Actual Spent,Constitutional Agencies,Public Service Commission,263
2021,Actual Spent,Constitutional Agencies,Public Solicitor,81
2021,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",530
2021,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Agriculture,525
2021,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Biosecurity,191
2021,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Forestry,165
2021,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Livestock,402
2021,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Parliament Secretariat - Ministry of Agriculture,0
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",65
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,36
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,191
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,68
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,95
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,60
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,176
2021,Actual Spent,Ministry of Education & Training,Director General Directorate,50
2021,Actual Spent,Ministry of Education & Training,Education Commissions and Councils,143
2021,Actual Spent,Ministry of Education & Training,Education Service Directorate,6761
2021,Actual Spent,Ministry of Education & Training,Finance & Administration Directorate,503
2021,Actual Spent,Ministry of Education & Training,MoE Cabinet,69
2021,Actual Spent,Ministry of Education & Training,Policy & Planning Directorate,39
2021,Actual Spent,Ministry of Education & Training,Tertiary Education Directorate,1966
2021,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,603
2021,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,10353
2021,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,84
2021,Actual Spent,Ministry of Finance and Economic Management,MFEM Corporate Services,176
2021,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,193
2021,Actual Spent,Ministry of Finance and Economic Management,"Ministry of Fisheries, Oceans and Maritime Affairs",387
2021,Actual Spent,Ministry of Finance and Economic Management,Department of Fisheries,387
2021,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",32
2021,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,460
2021,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,98
2021,Actual Spent,Ministry of Health,Department of Health,3181
2021,Actual Spent,Ministry of Health,Health Cabinet,84
2021,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,110
2021,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbour,274
2021,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,3776
2021,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,184
2021,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,42
2021,Actual Spent,Ministry of Internal Affairs,Department of Immigration,173
2021,Actual Spent,Ministry of Internal Affairs,Department of Labour,122
2021,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,938
2021,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,197
2021,Actual Spent,Ministry of Internal Affairs,Police Service Commission,15
2021,Actual Spent,Ministry of Internal Affairs,Vanuatu Mobile Force,430
2021,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,1129
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,62
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,107
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,179
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,24
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,25
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,52
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",Valuer General,17
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Commerce Development,144
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Cooperatives Development,231
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,-1
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,205
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,192
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Intellectual Property Development and Protection,32
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",79
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",National Standards Development,216
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,119
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,70
2021,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,75
2021,Actual Spent,Ministry of Youth Development and Sports,"Ministry of Youth, Justice and Community Services",824
2021,Actual Spent,Ministry of Youth Development and Sports,Correctional Services,273
2021,Actual Spent,Ministry of Youth Development and Sports,Customary land management Office,61
2021,Actual Spent,Ministry of Youth Development and Sports,Department of Womens Affairs,29
2021,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,243
2021,Actual Spent,Ministry of Youth Development and Sports,Ministry of Justice & Social Welfare Corporate Service Unit,112
2021,Actual Spent,Ministry of Justice and Community Service,Vanuatu Law Commission,39
2021,Actual Spent,Prime Ministers Ministry,Department of Communications and Digital Transformation,306
2021,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,126
2021,Actual Spent,Prime Ministers Ministry,Government Remuneration Tribunal,20
2021,Actual Spent,Prime Ministers Ministry,Language Services Department,45
2021,Actual Spent,Prime Ministers Ministry,PMO Corporate Service Unit,159
2021,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,137
2021,Actual Spent,Prime Ministers Ministry,Vanuatu Project Management Unit,123
2022,Actual Spent,Constitutional Agencies,Citizenship Office,40
2022,Actual Spent,Constitutional Agencies,Electoral Office,191
2022,Actual Spent,Constitutional Agencies,Judicial Services Commission,1
2022,Actual Spent,Constitutional Agencies,Judiciary,331
2022,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,125
2022,Actual Spent,Constitutional Agencies,National Audit Office,70
2022,Actual Spent,Constitutional Agencies,Office of the Attorney General,223
2022,Actual Spent,Constitutional Agencies,Office of the Ombudsman,72
2022,Actual Spent,Constitutional Agencies,Parliament,1279
2022,Actual Spent,Constitutional Agencies,President of the Republic,90
2022,Actual Spent,Constitutional Agencies,Public Prosecutor,121
2022,Actual Spent,Constitutional Agencies,Public Service Commission,251
2022,Actual Spent,Constitutional Agencies,Public Solicitor,88
2022,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",70
2022,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Agriculture,490
2022,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Biosecurity,273
2022,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Forestry,139
2022,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Livestock,425
2022,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",MALFFB Coporate Services,413
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",65
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,38
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,181
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,75
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,118
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,62
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,157
2022,Actual Spent,Ministry of Education & Training,Director General Directorate,60
2022,Actual Spent,Ministry of Education & Training,Education Commissions and Councils,141
2022,Actual Spent,Ministry of Education & Training,Education Service Directorate,6902
2022,Actual Spent,Ministry of Education & Training,Finance & Administration Directorate,586
2022,Actual Spent,Ministry of Education & Training,MoE Cabinet,81
